tweet_id,set
1395716621226872833,covid
1395714008234315779,covid
1395681746755198979,covid
1395679542455439360,covid
1395677444363980802,covid
1395676622372626432,covid
1395674259935137792,covid
1395665381738565633,covid
1395664930083381251,covid
1395630106870231044,covid
1395487627734917124,covid
1395462128803385353,covid
1395461416665157637,covid
1395459008006397960,covid
1395453268566872071,covid
1395444844152119305,covid
1395417982315241475,covid
1395385256585400321,covid
1395377865110302720,covid
1395373325921173511,covid
1395363530526896132,covid
1395354349849743362,covid
1395324619272359938,covid
1395306705458802690,covid
1395285466329632768,covid
1395284655579017217,covid
1395284350019723268,covid
1395254818835505154,covid
1395160368666775557,covid
1395131159445704711,covid
1395126872745390082,covid
1395124993235771392,covid
1395123234325082118,covid
1395109519676608519,covid
1395068641251635204,covid
1395068002853343232,covid
1395062823265447938,covid
1395062158279458838,covid
1395014308791259136,covid
1394947842456817667,covid
1394947114422132736,covid
1394929646991466501,covid
1394893844282580999,covid
1394778623551414274,covid
1394740050093555717,covid
1394700187277434883,covid
1394699409422786566,covid
1394689537880756224,covid
1394684206769389576,covid
1394682522127245315,covid
1394681501011296257,covid
1394680051623464961,covid
1394679302344613895,covid
1394678491203899393,covid
1394672767195353095,covid
1394670779338473476,covid
1394658012397195268,covid
1394636379884228609,covid
1394614032452231171,covid
1394612417557114880,covid
1394572997168701444,covid
1394566058732933121,covid
1394563370460848129,covid
1394523158078795780,covid
1394361136418590722,covid
1394352081071452172,covid
1394348847141376000,covid
1394346294659923969,covid
1394345701719560196,covid
1394340783478673408,covid
1394305741440290821,covid
1394305215105536001,covid
1394304758027063304,covid
1394300818740887556,covid
1394299967347601408,covid
1394299264373870596,covid
1394287433253015555,covid
1394275424268693504,covid
1394267582547566592,covid
1394257059105939458,covid
1394253485500215300,covid
1394251437861965826,covid
1394244427280003076,covid
1394243172134531076,covid
1394171730529333250,covid
1394101126224617475,covid
1394086507628142593,covid
1394010409707921417,covid
1394009522159726592,covid
1394002692696068099,covid
1394002236934692867,covid
1393987142762835977,covid
1393984570916212738,covid
1393980768968495106,covid
1393969332271697924,covid
1393969241389473797,covid
1393969128852054020,covid
1393917528754302976,covid
1393900902919155714,covid
1393900783322734592,covid
1393871636521263111,covid
1393868229051928576,covid
1393863314346807298,covid
1393636017643663364,covid
1393608230987878400,covid
1393582651500638214,covid
1393581692040974344,covid
1393581278360920071,covid
1393578531146375171,covid
1393577479575638018,covid
1393560323475615744,covid
1393556883500412929,covid
1393523678806257664,covid
